municipio,candidato,votos
BARRANQUILLA,DE LA CALLE LOMBANA HUMBERTO,8635
BARRANQUILLA,DUQUE MARQUEZ IVAN,144321
BARRANQUILLA,FAJARDO VALDERRAMA SERGIO,63348
BARRANQUILLA,MORALES HOYOS VIVIANE ALEIDA,933
BARRANQUILLA,PETRO URREGO GUSTAVO FRANCISCO,188185
BARRANQUILLA,TRUJILLO SARMIENTO JORGE ANTONIO,1958
BARRANQUILLA,VARGAS LLERAS GERMAN,79653
BOGOTA DC,DE LA CALLE LOMBANA HUMBERTO,93401
BOGOTA DC,DUQUE MARQUEZ IVAN,989744
BOGOTA DC,FAJARDO VALDERRAMA SERGIO,1244477
BOGOTA DC,MORALES HOYOS VIVIANE ALEIDA,5492
BOGOTA DC,PETRO URREGO GUSTAVO FRANCISCO,1099955
BOGOTA DC,TRUJILLO SARMIENTO JORGE ANTONIO,10696
BOGOTA DC,VARGAS LLERAS GERMAN,172684
CALI,DE LA CALLE LOMBANA HUMBERTO,23457
CALI,DUQUE MARQUEZ IVAN,248051
CALI,FAJARDO VALDERRAMA SERGIO,284347
CALI,MORALES HOYOS VIVIANE ALEIDA,1265
CALI,PETRO URREGO GUSTAVO FRANCISCO,229915
CALI,TRUJILLO SARMIENTO JORGE ANTONIO,3470
CALI,VARGAS LLERAS GERMAN,58532
MEDELLIN,DE LA CALLE LOMBANA HUMBERTO,25896
MEDELLIN,DUQUE MARQUEZ IVAN,535239
MEDELLIN,FAJARDO VALDERRAMA SERGIO,310430
MEDELLIN,MORALES HOYOS VIVIANE ALEIDA,1296
MEDELLIN,PETRO URREGO GUSTAVO FRANCISCO,77067
MEDELLIN,TRUJILLO SARMIENTO JORGE ANTONIO,2197
MEDELLIN,VARGAS LLERAS GERMAN,24133
SAN JOSE DE CUCUTA,DE LA CALLE LOMBANA HUMBERTO,2822
SAN JOSE DE CUCUTA,DUQUE MARQUEZ IVAN,191221
SAN JOSE DE CUCUTA,FAJARDO VALDERRAMA SERGIO,57329
SAN JOSE DE CUCUTA,MORALES HOYOS VIVIANE ALEIDA,553
SAN JOSE DE CUCUTA,PETRO URREGO GUSTAVO FRANCISCO,20609
SAN JOSE DE CUCUTA,TRUJILLO SARMIENTO JORGE ANTONIO,1479
SAN JOSE DE CUCUTA,VARGAS LLERAS GERMAN,38430
