departamento,votos
BOGOTA DC,3705960
ANTIOQUIA,2615238
VALLE DEL CAUCA,1780994
CUNDINAMARCA,1208999
SANTANDER,1004596
ATLANTICO,873397
BOLIVAR,638517
NORTE DE SANTANDER,626915
CORDOBA,597614
TOLIMA,584488
BOYACA,561691
NARINO,525215
CAUCA,482000
HUILA,456879
CALDAS,455595
RISARALDA,445148
META,437356
MAGDALENA,426120
CESAR,400218
SUCRE,352898
CONSULADOS,280102
QUINDIO,265928
LA GUAJIRA,201456
CASANARE,181694
CAQUETA,132452
CHOCO,119593
PUTUMAYO,103704
ARAUCA,89702
GUAVIARE,25591
AMAZONAS,18428
VICHADA,15983
ARCHIPIELAGO DE SAN ANDRES PROVIDENCIA Y SANTA CATALINA,12770
GUAINIA,9674
VAUPES,6780
